track_id,vehicle_id,tour_id,start_time,stop_time,distance,track_gap,avg_speed,max_speed,n_signal_loss,d_signal_loss,r_signal_loss,avg_hdop,home_base,long_haul,rest_area,service_area_fuel,industrial_area,cid
0,1,0,2021-09-10 11:04:53.598000+02:00,2021-09-10 12:07:57.395000+02:00,30751.0,,8.13,20.58,0.0,0.0,0.0,0.612354,False,False,False,False,True,10
1,1,0,2021-09-10 12:57:54.718000+02:00,2021-09-10 13:13:53.221000+02:00,7762.0,37.50405695,8.1,21.79,0.0,0.0,0.0,1.23013,False,False,False,False,True,-1
2,1,0,2021-09-10 13:25:20.146000+02:00,2021-09-10 14:09:50.802000+02:00,19432.0,4.89539396,7.28,24.75,0.0,0.0,0.0,0.549358,True,False,False,False,True,0
3,1,1,2021-09-10 14:21:35.547000+02:00,2021-09-10 14:25:26.391000+02:00,56.0,3.83616727,0.24,2.44,0.0,0.0,0.0,0.852446,True,False,False,False,True,0
4,1,1,2021-09-10 15:39:48.925000+02:00,2021-09-10 15:45:05.392000+02:00,201.0,12.81632601,0.64,3.8,0.0,0.0,0.0,0.656429,True,False,False,False,True,0
5,1,1,2021-09-11 03:12:11.008000+02:00,2021-09-11 03:12:21.716000+02:00,20.0,7.49230307,1.87,0.94,0.0,0.0,0.0,7.77058,True,False,False,False,True,0
6,1,1,2021-09-13 06:23:58.663000+02:00,2021-09-13 06:24:24.044000+02:00,6.0,16.15217498,0.24,0.08,0.0,0.0,0.0,0.761829,True,False,False,False,True,0
7,1,1,2021-09-13 06:59:58.115000+02:00,2021-09-13 07:00:15.928000+02:00,17.0,18.75733652,0.95,0.32,0.0,0.0,0.0,1.53672,True,False,False,False,True,0
8,1,1,2021-09-13 07:58:54.717000+02:00,2021-09-13 08:01:19.971000+02:00,21.0,3.6155363,0.14,0.11,0.0,0.0,0.0,0.500255,True,False,False,False,True,0
9,1,1,2021-09-13 08:08:10.018000+02:00,2021-09-13 08:08:26.837000+02:00,50.0,46.85276974,2.97,4.47,0.0,0.0,0.0,0.774,True,False,False,False,True,0
10,1,2,2021-09-13 08:25:03.766000+02:00,2021-09-13 08:37:36.886000+02:00,10267.0,87.90064649,13.63,19.59,0.0,0.0,0.0,0.573484,False,False,False,False,True,17
11,1,2,2021-09-13 08:42:48.090000+02:00,2021-09-13 08:43:31.456000+02:00,19.0,3.02836096,0.44,0.36,0.0,0.0,0.0,1.00049,False,False,False,False,True,17
12,1,2,2021-09-13 09:16:54.065000+02:00,2021-09-13 09:20:44.895000+02:00,105.0,5.96748873,0.45,2.09,0.0,0.0,0.0,1.07498,False,False,False,False,True,17
13,1,2,2021-09-13 09:59:33.994000+02:00,2021-09-13 10:14:58.268000+02:00,4240.0,3.24138303,4.59,16.73,0.0,0.0,0.0,0.758818,False,False,False,False,True,17
14,1,2,2021-09-13 11:45:05.675000+02:00,2021-09-13 11:45:22.496000+02:00,4.0,7.2110188,0.24,0.18,0.0,0.0,0.0,1.76867,False,False,False,False,True,17
15,1,2,2021-09-13 13:08:50.930000+02:00,2021-09-13 13:23:32.365000+02:00,7675.0,60.76379993,8.71,24.83,0.0,0.0,0.0,0.870267,False,False,False,False,True,17
16,1,2,2021-09-14 09:05:31.550000+02:00,2021-09-14 09:16:39.725000+02:00,3647.0,49.53862129,5.46,16.03,0.0,0.0,0.0,0.93367,False,False,False,False,True,17
17,1,2,2021-09-14 13:24:50.310000+02:00,2021-09-14 13:45:39.906000+02:00,10597.0,14.3342859,8.48,19.58,0.0,0.0,0.0,0.67973,True,False,False,False,True,0
18,1,3,2021-09-14 13:49:23.603000+02:00,2021-09-14 14:13:47.314000+02:00,1570.0,11.38890061,1.07,7.13,0.0,0.0,0.0,0.537768,True,False,False,False,True,0
19,1,3,2021-09-15 08:30:49.367000+02:00,2021-09-15 08:34:48.759000+02:00,167.0,2.62040677,0.7,2.34,0.0,0.0,0.0,0.894943,True,False,False,False,True,0
20,1,3,2021-09-15 10:17:33.911000+02:00,2021-09-15 10:18:16.421000+02:00,24.0,27.47458732,0.56,0.7,0.0,0.0,0.0,2.87469,True,False,False,False,True,0
21,1,3,2021-09-16 11:46:12.359000+02:00,2021-09-16 11:50:46.003000+02:00,351.0,8.6929728,1.28,2.82,0.0,0.0,0.0,1.25776,True,False,False,False,True,0
22,1,3,2021-09-16 13:47:23.895000+02:00,2021-09-16 13:50:57.624000+02:00,70.0,6.09584115,0.33,0.58,0.0,0.0,0.0,1.46787,True,False,False,False,True,0
23,1,3,2021-09-16 14:16:25.826000+02:00,2021-09-16 14:26:59.041000+02:00,857.0,15.06083275,1.35,4.16,0.0,0.0,0.0,0.650011,True,False,False,False,True,0
24,1,3,2021-09-16 23:23:24.104000+02:00,2021-09-16 23:24:40.840000+02:00,12.0,12.72602228,0.16,0.08,0.0,0.0,0.0,0.584514,True,False,False,False,True,0
25,1,3,2021-09-17 02:57:03.577000+02:00,2021-09-17 03:00:03.066000+02:00,27.0,3.61555668,0.15,0.12,0.0,0.0,0.0,0.704154,True,False,False,False,True,0
26,1,3,2021-09-17 07:28:30.845000+02:00,2021-09-17 07:33:38.698000+02:00,39.0,9.44531275,0.13,0.08,0.0,0.0,0.0,0.497687,True,False,False,False,True,0
27,1,3,2021-09-18 05:00:58.776000+02:00,2021-09-18 05:03:23.985000+02:00,30.0,8.9464468,0.21,0.13,0.0,0.0,0.0,0.634906,True,False,False,False,True,0
28,1,3,2021-09-18 06:58:31.447000+02:00,2021-09-18 06:58:48.268000+02:00,3.0,5.03011066,0.18,0.07,0.0,0.0,0.0,1.37427,True,False,False,False,True,0
29,1,3,2021-09-18 19:35:16.204000+02:00,2021-09-18 19:35:25.255000+02:00,13.0,2.1904865,1.44,1.22,0.0,0.0,0.0,2.3166,True,False,False,False,True,0
30,1,3,2021-09-19 04:06:05.288000+02:00,2021-09-19 04:06:23.523000+02:00,24.0,7.73305157,1.32,0.45,0.0,0.0,0.0,1.70136,True,False,False,False,True,0
31,1,3,2021-09-19 07:12:51.619000+02:00,2021-09-19 07:13:08.433000+02:00,1.0,8.2748773,0.06,0.06,0.0,0.0,0.0,0.501629,True,False,False,False,True,0
32,1,3,2021-09-19 07:28:29.837000+02:00,2021-09-19 07:37:28.907000+02:00,87.0,9.98370469,0.16,0.14,0.0,0.0,0.0,0.562261,True,False,False,False,True,0
33,1,3,2021-09-19 07:45:11.733000+02:00,2021-09-19 07:48:02.671000+02:00,20.0,11.88682511,0.12,0.14,0.0,0.0,0.0,0.558651,True,False,False,False,True,0
34,1,3,2021-09-19 22:47:18.163000+02:00,2021-09-19 22:48:00.665000+02:00,1.0,0.85117882,0.02,0.05,0.0,0.0,0.0,0.461005,True,False,False,False,True,0
35,1,3,2021-09-20 04:33:03.329000+02:00,2021-09-20 04:34:02.954000+02:00,15.0,9.7156158,0.25,0.08,0.0,0.0,0.0,0.855949,True,False,False,False,True,0
36,1,3,2021-09-20 06:03:26.300000+02:00,2021-09-20 06:08:51.318000+02:00,33.0,22.01620739,0.1,0.06,0.0,0.0,0.0,0.477148,True,False,False,False,True,0
37,1,3,2021-09-20 10:28:37.860000+02:00,2021-09-20 10:31:03.096000+02:00,12.0,19.68909757,0.08,0.07,0.0,0.0,0.0,0.496889,True,False,False,False,True,0
38,1,3,2021-09-20 16:39:25.377000+02:00,2021-09-20 16:39:42.807000+02:00,14.0,21.84693456,0.8,0.16,0.0,0.0,0.0,1.83511,True,False,False,False,True,0
39,1,3,2021-09-21 08:54:38.854000+02:00,2021-09-21 08:55:21.368000+02:00,8.0,18.5454478,0.19,0.05,0.0,0.0,0.0,0.603074,True,False,False,False,True,0
