FID,RDNAME,RDNAME2,HWY_NUM,AADTT16,VOG_WGT,VOG16,SHAPE_Length
1,Bluewater Hwy,King's Highway 21,21,461,1146977,2684000,0.028782209571878
2,Highway 48,King's Highway 48,48,616,397695,2211000,0.0173020412189128
3,Yonge St,County Road 1,11,0,0,0,0.018362485472072
4,Hwy 9, ,9,507,760719,1200000,0.00529956471572189
5,Cassells Street, ,63,0,0,0,0.00627105612444099
6,Bayfield St,Hwy 26,11,0,0,0,0.000274488615419967
7,Hwy 62,Hwy 62,62,74,128623,313000,0.0163826725628729
8,Hwy 26,Hwy 27,11,0,0,0,0.00025317905913816
9,Highway 11,Highway 17,17,939,9309647,31212000,0.000781674041755357
10,Yonge St,Simcoe County Road 4,11,0,0,0,0.0130190494723482
11,Highway 11,Highway 17,17,939,9309647,31212000,0.0052728041875638
12,Highway 7, ,7,265,1044689,1625000,0.0447195469491314
13,Highway 11,Highway 17,17,936,7929180,28370000,0.00300914359754531
14,Woodlawn Rd W,King's Highway 7,7,0,0,0,0.00943214394865952
15,Trout Lake Road, ,63,0,0,0,0.0100906847675245
16,Highway 21, ,21,147,134366,1434000,0.0149710300507583
17,Highway 11,Highway 17,17,907,7034849,27246000,0.000249503377645033
18,Highway 21, ,21,147,134366,1434000,0.000482468898442324
19,Bluewater Hwy,King's Highway 21,21,245,422294,1903000,0.0231380774729428
20,Highway 41, ,41,132,349818,525000,0.0185045066779911
21,Bluewater Hwy,King's Highway 21,21,245,422294,1903000,0.0186166357248552
22,Highway 21, ,21,202,134366,1434000,0.0164036592550734
23,Bluewater Hwy,King's Highway 21,21,267,746863,2370000,0.0186347286822391
24,Highway 21, ,21,147,134366,1434000,0.0202472247862722
25,Bluewater Hwy,King's Highway 21,21,245,422294,1903000,0.0186672267226725
26,Highway 21, ,21,147,134366,1434000,0.00550700380701988
27,Bluewater Hwy,King's Highway 21,21,245,422294,1903000,0.0186502591295759
28,Yonge St, ,11,0,0,0,0.0115421657617426
29,Bluewater Hwy,King's Highway 21,21,245,422294,1903000,0.0186068698769595
30,Base Line,County Road 21,21,0,0,0,0.0113309086308623
31,Richmond St,King's Highway 4,4,117,254780,589000,0.0135850778271265
32,Base Line,County Road 21,21,0,0,0,0.00567066815537557
33,Richmond St,King's Highway 4,4,199,183693,352000,0.0187086952472828
34,Irish School Rd,County Road 21,21,0,0,0,0.0253322389450673
35,Richmond St,King's Highway 4,4,117,254780,589000,0.0128865898242079
36,Hwy 89, ,89,321,1433370,4233000,0.00448366562224147
37,Richmond St,King's Highway 4,4,67,62092,302000,0.0132151441051777
38,Hwy 89, ,89,322,1434572,4237000,0.0172071739293246
39,Dundas St S,King's Highway 8,8,400,2282664,2764000,0.0158369255208575
40,Hwy 89, ,89,322,1434572,4237000,0.0036271946460098
41,Elginfield Rd,King's Highway 7,7,296,386706,1000000,0.0201461750776689
42,Hwy 89, ,89,322,1434572,4237000,0.00546418659455136
43,Bloor St W,Hwy 5,5,0,0,0,0.00126812026241165
44,Hwy 89, ,89,322,1434572,4237000,0.0204513767587647
45,Yonge St, ,11,0,0,0,0.00108879842208102
46,Broad St E,King's Highway 3,3,163,414420,908000,0.0165042060387169
47,Yonge St, ,11,0,0,0,0.000708156978347049
48,Industrial Rd,County Road 21,21,0,0,0,0.00283159195509659
49,Highway 26, ,26,375,667736,1691000,0.00393281275566579
50,County Road 21,Hwy 21,21,0,0,0,0.00591908832505853
51,Hwy 35,King's Highway 35,35,243,628026,2407000,0.0131363159884414
52,Hwy 20, ,20,0,0,0,0.0062365527755078
53,County Road 21,Hwy 21,21,0,0,0,0.0145835081933229
54,Main St E,Hwy 8,8,0,0,0,0.00115773681378586
55,County Road 21,Hwy 21,21,0,0,0,0.000574142353419146
56,Markham Rd, ,48,0,0,0,0.0070123401985187
57,Highway 6, ,6,2504,10559170,28093000,0.0149323552804466
58,Norfolk St S,Regional Road 24,24,0,0,0,0.012866121014615
59,Highway 21, ,21,243,134619,1435000,0.0203034867430738
60,Sykes St S,Hwy 26,26,253,91332,339000,0.0127114130938859
61,Rest Acres Rd,King's Highway 24,24,604,3070036,5342000,0.0190908359162078
62,Woodlawn Rd W,King's Highway 7,7,0,0,0,0.000741321118043053
63,Hwy 35,King's Highway 35,35,409,1065127,5683000,0.0129090079714957
64,Hwy 35,King's Highway 35,35,243,628026,2407000,0.013626413741092
65,Highway 7a, ,7,294,340603,179000,0.00126535033094397
66,Highway 7a, ,7,294,340603,179000,0.00183013821119385
67,Hwy 35,Highway 7A,35,311,1105697,2591000,0.000782111245282732
68,Highway 6,King's Highway 6,6,538,1104908,3160000,0.0109305851014366
69,Hwy 89, ,89,683,1731712,5002000,0.000678185815228879
70,County Road 21,Hwy 21,21,0,0,0,0.00375496965528954
71,County Road 21,Hwy 21,21,0,0,0,0.00120972471746455
72,County Road 21,Hwy 21,21,0,0,0,0.000174773367506173
73,Hwy 89, ,89,393,1653354,10711000,0.018409366201819
74,County Road 2, ,2,0,0,0,0.0342706161668431
75,Hwy 26,Highway 26,26,272,1131093,4257000,0.0170570288029306
76,Becker Road, ,631,0,0,0,0.00306767208154526
77,Hwy 26, ,26,0,0,0,0.00921206432043471
78,Highway 26, ,26,393,848272,2098000,0.00345631520663501
79,Hwy 26,Pretty River Pky,26,0,0,0,0.000180953032609068
80,Hwy 26, ,26,469,1053036,971000,0.0164674094274943
81,Highway 522B, ,522,0,0,0,0.000105261331962585
82,Highway 60, ,60,135,641333,1060000,0.00422003832397606
83,Highway 124, ,124,20,56495,75000,0.0237210809716263
84,Chapmans Landing Road, ,654,0,0,0,0.000327361641036772
85,Highway 522B, ,522,16,67628,78000,0.00177044683622639
86,Young St,Hwy 89,89,0,0,0,0.00215909893146996
87,St Clair Rd,King's Highway 40,40,255,721285,1418000,0.0149674388616743
88,Hwy 89, ,89,652,2299992,6818000,0.00241552565209112
89,St Clair Rd,King's Highway 40,40,261,728887,1501000,0.014766462995166
90,Hwy 89, ,89,388,1679819,10702000,0.00455096034767705
91,Highway 7,Highway 35,35,301,483211,888000,0.000819538035755531
92,Hwy 26, ,26,686,2096568,4958000,0.00397605886580969
93,Main St S,King's Highway 21,21,198,439547,1016000,0.0196424211407039
94,Yonge St, ,11,0,0,0,0.000689774395002105
95,Hwy 93, ,93,339,1232979,3275000,0.00427457157777112
96,Yonge St, ,11,0,0,0,0.0127555138840456
97,Lakeshore Rd,King's Highway 21,21,272,796538,2409000,0.00072654387343345
98,Highway 12, ,12,317,233704,1317000,0.0142270628075431
99,Highway 12, ,12,367,789587,771000,0.00339956264924193
100,Highway 12, ,12,407,789587,771000,0.00200899578795007
101,Base Line,County Road 21,21,0,0,0,0.0167197131695415
102,Parry Sound Drive, ,124,76,106106,211000,0.00142791734835615
103,Highway 7, ,7,262,1581877,4724000,0.0836395321962182
104,Base Line,County Road 21,21,0,0,0,0.0170610617037448
105,Highway 144, ,144,588,798095,702000,0.00647910943013877
106,Highway 144, ,144,588,1052299,9575000,0.00508200597105141
